,country,beer_servings,spirit_servings,wine_servings,total_litres_of_pure_alcohol,weighted_average,cluster
15,Belarus,142,373,42,2.5728379452255146,0.5259840752873872,-1
0,Afghanistan,0,0,0,-1.2533773894120868,-1.0811931332398097,0
107,Mauritania,0,0,0,-1.2533773894120868,-1.0811931332398097,0
108,Mauritius,98,31,18,-0.5625329539914088,-0.18925492464081753,0
110,Micronesia,62,50,18,-0.6422457734630256,-0.47488151543181856,0
111,Monaco,0,0,0,-1.2533773894120868,-1.0811931332398097,0
112,Mongolia,77,189,8,0.048598661957652535,-0.25796476955195324,0
113,Montenegro,31,114,128,0.048598661957652535,-0.40453013838970003,0
106,Marshall Islands,0,0,0,-1.2533773894120868,-1.0811931332398097,0
114,Morocco,12,6,10,-1.1205226902927257,-0.9505740765316097,0
116,Myanmar,5,1,0,-1.2268064495882145,-1.038513297834258,0
118,Nauru,49,0,8,-0.9876679911733645,-0.6507599580371147,0
119,Nepal,5,6,0,-1.2002355097643422,-1.0342922152117309,0
122,Nicaragua,78,118,1,-0.32339449557655875,-0.3265573621680187,0
123,Niger,3,2,1,-1.2268064495882145,-1.0518800594722604,0
124,Nigeria,42,5,2,1.164578134560286,-0.7201733167186717,0
127,Oman,22,16,1,-1.0673808106449811,-0.8810434655549826,0
115,Mozambique,47,18,5,-0.9079551717017478,-0.6599056370525902,0
104,Mali,5,1,1,-1.0939517504688534,-1.0359337473427135,0
103,Maldives,0,0,0,-1.2533773894120868,-1.0811931332398097,0
102,Malaysia,13,4,0,-1.1736645699404702,-0.9689826868576307,0
83,Italy,85,42,237,0.47373369913960806,0.2613456453139515,0
84,Jamaica,82,97,9,-0.349965435400431,-0.290560907581468,0
85,Japan,77,202,16,0.6065883982589693,-0.22689291135835085,0
86,Jordan,6,21,1,-1.1205226902927257,-1.0108417561976912,0
87,Kazakhstan,124,246,12,0.5534465186112247,0.19345656646830708,0
88,Kenya,58,22,2,-0.7751004725823867,-0.5719664157499421,0
89,Kiribati,21,34,1,-0.9876679911733645,-0.8743600847359814,0
128,Pakistan,0,0,0,-1.2533773894120868,-1.0811931332398097,0
90,Kuwait,0,0,0,-1.2533773894120868,-1.0811931332398097,0
92,Laos,62,0,123,0.39402087966799143,-0.2529229208639347,0
94,Lebanon,20,55,31,-0.7485295327585144,-0.7897039276952988,0
95,Lesotho,82,29,0,-0.5093910743436644,-0.37017521593413216,0
191,Zambia,32,19,4,-0.589103893815281,-0.7872416294988246,0
97,Libya,0,0,0,-1.2533773894120868,-1.0811931332398097,0
100,Madagascar,26,15,4,-1.0408098708211089,-0.840825928345905,0
101,Malawi,8,11,1,-0.8548132920540032,-1.0025168432477074,0
91,Kyrgyzstan,31,97,6,-0.6156748336391533,-0.7252151654066902,0
131,Papua New Guinea,44,39,1,-0.8548132920540032,-0.6774934813131198,0
134,Philippines,71,186,1,-0.03111415751396434,-0.32831614659407177,0
137,Qatar,1,42,7,-1.0142389309972366,-1.020104687508237,0
169,Thailand,99,258,1,0.44716275931573596,-0.033426624492524995,0
170,Macedonia,106,27,86,-0.21711073628106986,0.04524966549957744,0
171,Timor-Leste,1,1,4,-1.2268064495882145,-1.0619637568482974,0
172,Togo,36,2,19,-0.9079551717017478,-0.7302570140947087,0
173,Tonga,36,21,5,-0.9610970513494922,-0.7494863904862211,0
175,Tunisia,51,3,20,-0.9079551717017478,-0.6012794895174914,0
176,Turkey,51,22,7,-0.8813842318778755,-0.6180465677125296,0
168,Tajikistan,2,15,0,-1.1736645699404702,-1.0518800594722604,0
177,Turkmenistan,19,71,32,-0.6688167132868976,-0.7821997808108062,0
179,Uganda,45,9,0,0.9520106159693084,-0.6967228577046323,0
181,United Arab Emirates,16,135,5,-0.5093910743436644,-0.8215965519543925,0
183,Tanzania,36,6,1,0.26116618054863033,-0.7721160834347692,0
186,Uzbekistan,25,101,8,-0.6156748336391533,-0.7670742347467506,0
187,Vanuatu,21,18,11,-1.0142389309972366,-0.8626348552289617,0
189,Vietnam,111,2,1,-0.7219585929346422,-0.14739585530075694,0
190,Yemen,6,0,0,-1.2268064495882145,-1.0308918986546949,0
178,Tuvalu,6,41,9,-0.9876679911733645,-0.9740245355456493,0
82,Israel,63,69,9,-0.589103893815281,-0.4731227310057656,0
167,Syria,5,35,16,-0.9876679911733645,-0.9698034529231222,0
163,Suriname,128,178,7,0.23459524072475793,0.15746011188175654,0
138,South Korea,140,16,9,1.3505747133273918,0.1273262720487157,0
139,Moldova,109,226,18,0.4205918194918636,0.06623782631714287,0
142,Rwanda,43,2,0,0.5534465186112247,-0.7193525506531804,0
145,St. Vincent & the Grenadines,120,221,11,0.4205918194918636,0.13658920335926136,0
146,Samoa,105,18,24,-0.5625329539914088,-0.12640769448319153,0
147,San Marino,0,0,0,-1.2533773894120868,-1.0811931332398097,0
148,Sao Tome & Principe,56,38,140,-0.1373979168094531,-0.2286516957844039,0
164,Swaziland,90,2,2,-0.00454321769009197,-0.3206947474145089,0
149,Saudi Arabia,0,5,0,-1.2268064495882145,-1.0769720506172826,0
152,Seychelles,157,25,51,-0.16396885663332547,0.3828190230066761,0
153,Sierra Leone,25,3,2,0.5268755787873526,-0.8642763873599444,0
154,Singapore,60,12,11,-0.8548132920540032,-0.54101180985141,0
157,Solomon Islands,56,11,1,-0.9345261115256199,-0.600458723452,0
158,Somalia,0,0,0,-1.2533773894120868,-1.0811931332398097,0
161,Sri Lanka,16,104,0,-0.6688167132868976,-0.8600553047374173,0
162,Sudan,8,13,0,-0.8016714124062588,-1.0033376093131987,0
150,Senegal,9,1,7,-1.1736645699404702,-0.9873912971836518,0
80,Iraq,9,3,0,-1.2002355097643422,-1.0033376093131987,0
96,Liberia,19,152,2,-0.42967825487204764,-0.7897039276952988,0
78,Indonesia,5,1,0,-1.2268064495882145,-1.038513297834258,0
46,North Korea,0,0,0,-1.2533773894120868,-1.0811931332398097,0
43,Cuba,93,137,5,-0.1373979168094531,-0.17495014464225328,0
41,Costa Rica,149,87,11,-0.08425603716170861,0.2672082600674614,0
40,Cook Islands,0,254,74,0.3143080601963748,-0.6825353300011383,0
39,Congo,76,1,9,-0.8016714124062588,-0.4211799642896681,0
79,Iran,0,0,0,-1.2533773894120868,-1.0811931332398097,0
38,Comoros,1,3,1,-1.2268064495882145,-1.0678263716018073,0
37,Colombia,159,76,3,-0.1373979168094531,0.32161332498003303,0
36,China,79,192,8,0.07516960178152467,-0.23861814086537061,0
34,Chad,15,1,1,-1.1470936301165977,-0.9522156086625926,0
33,Central African Republic,17,2,1,-0.7751004725823867,-0.934627764402063,0
31,Cameroon,147,1,4,0.28773712037250243,0.16086042843879234,0
30,Cambodia,57,65,1,-0.6688167132868976,-0.5468744246049199,0
29,Cabo Verde,144,56,16,-0.19053979645719762,0.21198242908939843,0
28,Cote d'Ivoire,37,1,7,-0.19053979645719762,-0.7528867070432568,0
27,Burundi,88,0,0,0.4205918194918636,-0.34414520642854834,0
26,Burkina Faso,25,7,7,-0.11082697698558097,-0.8483300752303976,0
1,Albania,89,132,54,0.048598661957652535,-0.08959047383114967,0
2,Algeria,25,0,14,-1.0673808106449811,-0.8366048457233778,0
5,Antigua & Barbuda,102,128,45,0.048598661957652535,-0.006693101216519956,0
7,Armenia,21,179,11,-0.24368167610494212,-0.7277947158982345,0
10,Azerbaijan,21,46,5,-0.9079551717017478,-0.8541926899839074,0
11,Bahamas,122,176,51,0.4205918194918636,0.21608625941685528,0
47,DR Congo,32,3,1,-0.6422457734630256,-0.8081125380213198,0
12,Bahrain,42,63,7,-0.7219585929346422,-0.6590848709870988,0
14,Barbados,143,173,36,0.4205918194918636,0.3517471648130737,0
18,Benin,34,4,13,-0.9610970513494922,-0.7603908539277494,0
19,Bhutan,23,0,0,-1.1470936301165977,-0.8885476124394754,0
20,Bolivia,167,41,8,-0.24368167610494212,0.3719145595651478,0
21,Bosnia-Herzegovina,76,173,8,-0.03111415751396434,-0.27965644413993973,0
24,Brunei,31,2,1,-1.0939517504688534,-0.8173754693318654,0
13,Bangladesh,0,0,0,-1.2533773894120868,-1.0811931332398097,0
49,Djibouti,15,44,3,-0.9610970513494922,-0.9111773053880234,0
192,Zimbabwe,64,18,4,-0.00454321769009197,-0.5200236490338446,0
64,Georgia,52,100,149,0.18145336107701368,-0.18761339250983478,0
70,Guinea,9,0,2,-1.2002355097643422,-1.0007580588216543,0
69,Guatemala,53,69,2,-0.6688167132868976,-0.5745459662414865,0
73,Haiti,1,326,1,0.3143080601963748,-0.7973253268748617,0
74,Honduras,69,98,2,-0.4562491946959199,-0.4162553678967198,0
66,Ghana,31,3,10,-0.7751004725823867,-0.7939250103178259,0
50,Dominica,52,286,26,0.5003046389634802,-0.34086214216658284,0
63,Gambia,8,0,1,-0.6156748336391533,-1.0116625222631828,0
71,Guinea-Bissau,28,31,21,-0.589103893815281,-0.7680122531073124,0
59,Fiji,77,35,1,-0.7219585929346422,-0.40453013838970003,0
58,Ethiopia,20,3,0,-1.0673808106449811,-0.9111773053880234,0
56,Eritrea,18,0,0,-1.1205226902927257,-0.9304066817795358,0
55,Equatorial Guinea,92,0,233,0.28773712037250243,0.27471240695195404,0
72,Guyana,93,302,1,0.6331593380828413,-0.04691063842559778,0
52,Ecuador,162,74,3,-0.1373979168094531,0.3450637839940725,0
77,India,9,114,0,-0.6688167132868976,-0.9103565393225319,0
53,Egypt,6,4,1,-1.2002355097643422,-1.0250292839011852,0
54,El Salvador,52,69,2,-0.6688167132868976,-0.5828708791914704,0
98,Lithuania,343,244,56,2.174273847867431,2.13656160037162,1
62,Gabon,347,98,59,1.1114362549125416,2.055305759887973,1
140,Romania,297,122,167,1.5100003522706251,1.9279697674417384,1
3,Andorra,245,138,312,2.0414191487480697,1.8701643859721315,1
156,Slovenia,270,51,276,1.5631422319183694,1.9162445379347186,1
135,Poland,343,215,56,1.6428550513899862,2.112290375292089,1
81,Ireland,313,118,165,1.7757097505093473,2.0536642277569905,1
16,Belgium,295,84,212,1.5365712920944972,1.992458529730347,1
117,Namibia,376,3,1,0.5534465186112247,2.0728936041485024,1
57,Estonia,224,194,59,1.270861893855775,1.1055621698193734,2
76,Iceland,233,61,78,0.5003046389634802,1.1172873993263932,2
121,New Zealand,203,79,175,1.2177200142080307,1.1247915462108857,2
159,South Africa,225,76,81,0.9254396761454358,1.0703864812983142,2
109,Mexico,238,68,5,0.2080243009008858,0.9816264939301748,2
132,Paraguay,213,117,74,0.6863012177305858,0.9866683426181934,2
23,Brazil,245,145,16,0.6597302779067137,1.1324129453904486,2
44,Cyprus,192,154,113,0.9254396761454358,0.9397674245901143,2
6,Argentina,193,25,221,0.9520106159693084,1.1114247845728833,2
155,Slovakia,196,293,116,1.7757097505093473,1.0972372568693893,2
68,Grenada,199,438,28,1.9085644496287084,1.022664797204744,2
4,Angola,217,57,45,0.3143080601963748,0.8969703368894922,2
61,France,127,151,370,1.8819935098048364,1.0386111093342907,2
180,Ukraine,206,237,45,1.1114362549125416,0.955596484424591,2
160,Spain,284,157,112,1.403716592975136,1.7102322554963816,3
151,Serbia,283,131,127,1.297432833679647,1.7177364023808748,3
8,Australia,261,72,212,1.5100003522706251,1.6976862599238707,3
99,Luxembourg,236,133,271,1.7757097505093473,1.6876025625478335,3
188,Venezuela,333,100,3,0.7925849770260749,1.798992242864521,4
9,Austria,279,75,191,1.3240037735035193,1.7981714767990298,4
32,Canada,240,122,100,0.9254396761454358,1.282261378490161,5
166,Switzerland,185,100,280,1.4568584726228804,1.255527855214156,5
182,United Kingdom,219,126,195,1.5100003522706251,1.3483916729097525,5
17,Belize,263,114,8,0.5534465186112247,1.2370019925930649,5
25,Bulgaria,231,252,94,1.4834294124467529,1.300669988816182,5
184,USA,249,158,84,1.0582943752647969,1.347570906844261,5
22,Botswana,173,35,35,0.18145336107701368,0.484945772012818,6
35,Chile,130,124,172,0.7660140372022025,0.5435719195479168,6
105,Malta,149,100,120,0.5003046389634802,0.552014084792971,6
133,Peru,163,160,21,0.36744993984411906,0.4707582443093244,6
185,Uruguay,115,35,220,0.5003046389634802,0.4640748634903229,6
75,Hungary,234,215,185,1.7491388106854753,1.523449349449557,7
136,Portugal,194,67,339,1.6694259912138583,1.451456440276456,7
130,Panama,285,104,18,0.6597302779067137,1.4380896786384536,7
48,Denmark,224,81,278,1.5100003522706251,1.5612045884621608,7
93,Latvia,281,216,62,1.5365712920944972,1.6089262725557312,7
60,Finland,263,133,97,1.403716592975136,1.476548431421478,7
120,Netherlands,251,88,190,1.2442909540319027,1.5721090519036893,7
141,Russian Federation,247,326,73,1.8022806903332194,1.4439522933919635,7
129,Palau,306,63,23,0.5800174584350971,1.592159194360693,7
42,Croatia,230,87,254,1.4568584726228804,1.5561627397741424,7
65,Germany,346,117,175,1.7491388106854753,2.3542991123169767,8
45,Czech Republic,361,170,134,1.8819935098048364,2.421250172802059,8
125,Niue,188,200,7,0.6065883982589693,0.6784120588786439,9
165,Sweden,152,60,186,0.6597302779067137,0.7093666647771762,9
174,Trinidad & Tobago,197,156,7,0.44716275931573596,0.7169880639567391,9
67,Greece,133,112,218,0.9520106159693084,0.674190976256117,9
126,Norway,169,71,129,0.5268755787873526,0.7178088300222304,9
51,Dominican Republic,193,147,9,0.39402087966799143,0.6809916093701882,9
143,St. Kitts & Nevis,194,205,32,0.7925849770260749,0.7956643539488414,10
144,St. Lucia,171,315,71,1.430287532799008,0.7932020557523675,10
